moneda,institucion,periodo,situacion_credito,responsabilidad_total
Moneda nacional,Ve por Más,May 2020,Vencido,56.16
Moneda nacional,ABC Capital,May 2020,Vigente,390.97
Moneda nacional,Accendo Banco,May 2020,Vigente,129.07
Moneda nacional,Actinver,May 2020,Vigente,763.15
Moneda nacional,Afirme,May 2020,Vigente,741.24
Moneda nacional,Autofin,May 2020,Vigente,353.11
Moneda nacional,Banamex,May 2020,Vigente,8722.42
Moneda nacional,Banca Mifel,May 2020,Vigente,2397.76
Moneda nacional,Banco Ahorro Famsa,May 2020,Vigente,42.02
Moneda nacional,Banco Azteca,May 2020,Vigente,53.6
Moneda nacional,Banco Base,May 2020,Vigente,283.35
Moneda nacional,Banco del Bajío,May 2020,Vigente,2205.66
Moneda nacional,BanCoppel,May 2020,Vigente,178.37
Moneda nacional,Bancrea,May 2020,Vigente,56.57
Moneda nacional,Bank of America,May 2020,Vigente,0
Moneda nacional,Bank of China,May 2020,Vigente,0
Moneda nacional,Bankaool,May 2020,Vigente,0
Moneda nacional,Banorte,May 2020,Vigente,6666.48
Moneda nacional,Banregio,May 2020,Vigente,2113.3
Moneda nacional,Bansí,May 2020,Vigente,206.63
Moneda nacional,BBVA Bancomer,May 2020,Vigente,20722.73
Moneda nacional,BIAfirme,May 2020,Vigente,0
Moneda nacional,CIBanco,May 2020,Vigente,355.49
Moneda nacional,Consubanco,May 2020,Vigente,0
Moneda nacional,Dondé Banco,May 2020,Vigente,14.75
Moneda nacional,Finterra,May 2020,Vigente,20.17
Moneda nacional,HSBC,May 2020,Vigente,3089.6
Moneda nacional,ICBC,May 2020,Vigente,0
Moneda nacional,Inbursa,May 2020,Vigente,1602.23
Moneda nacional,Inmobiliario Mexicano,May 2020,Vigente,621.21
Moneda nacional,Intercam Banco,May 2020,Vigente,553.91
Moneda nacional,Invex,May 2020,Vigente,595.13
Moneda nacional,J.P. Morgan,May 2020,Vigente,0
Moneda nacional,KEB Hana Bank,May 2020,Vigente,0
Moneda nacional,Mizuho Bank,May 2020,Vigente,10.63
Moneda nacional,Monex,May 2020,Vigente,553.68
Moneda nacional,MUFG Bank,May 2020,Vigente,5.37
Moneda nacional,Multiva,May 2020,Vigente,878.46
Moneda nacional,Sabadell,May 2020,Vigente,168.81
Moneda nacional,Santander,May 2020,Vigente,15996.24
Moneda nacional,Scotiabank,May 2020,Vigente,1730.55
Moneda nacional,Shinhan,May 2020,Vigente,39.45
Moneda nacional,Total Banca Múltiple,May 2020,Vigente,73239.66
Moneda nacional,Ve por Más,May 2020,Vigente,977.56
UDIS,ABC Capital,May 2020,Vencido,0
UDIS,Accendo Banco,May 2020,Vencido,0
UDIS,Actinver,May 2020,Vencido,0
UDIS,Autofin,May 2020,Vencido,0
UDIS,Banamex,May 2020,Vencido,0
UDIS,Banca Mifel,May 2020,Vencido,0
UDIS,Banco Base,May 2020,Vencido,0
UDIS,Banco del Bajío,May 2020,Vencido,0
UDIS,Bankaool,May 2020,Vencido,0
UDIS,Banorte,May 2020,Vencido,0
UDIS,Banregio,May 2020,Vencido,0
UDIS,Bansí,May 2020,Vencido,0
UDIS,BBVA Bancomer,May 2020,Vencido,0
UDIS,Finterra,May 2020,Vencido,0
UDIS,HSBC,May 2020,Vencido,0
UDIS,ICBC,May 2020,Vencido,0
UDIS,Inbursa,May 2020,Vencido,0
UDIS,Inmobiliario Mexicano,May 2020,Vencido,0
UDIS,Intercam Banco,May 2020,Vencido,0
UDIS,Invex,May 2020,Vencido,0
UDIS,Monex,May 2020,Vencido,0
UDIS,MUFG Bank,May 2020,Vencido,0
UDIS,Multiva,May 2020,Vencido,0
UDIS,Sabadell,May 2020,Vencido,0
UDIS,Santander,May 2020,Vencido,0
UDIS,Scotiabank,May 2020,Vencido,0
UDIS,Total Banca Múltiple,May 2020,Vencido,0
UDIS,Ve por Más,May 2020,Vencido,0
UDIS,ABC Capital,May 2020,Vigente,0
UDIS,Accendo Banco,May 2020,Vigente,0
UDIS,Actinver,May 2020,Vigente,0
UDIS,Afirme,May 2020,Vigente,0
UDIS,Autofin,May 2020,Vigente,0
UDIS,Banamex,May 2020,Vigente,0
UDIS,Banca Mifel,May 2020,Vigente,0
UDIS,Banco Ahorro Famsa,May 2020,Vigente,0
UDIS,Banco Azteca,May 2020,Vigente,0
UDIS,Banco Base,May 2020,Vigente,0
UDIS,Banco del Bajío,May 2020,Vigente,0
UDIS,BanCoppel,May 2020,Vigente,0
UDIS,Bancrea,May 2020,Vigente,0
UDIS,Bank of America,May 2020,Vigente,0
UDIS,Bank of China,May 2020,Vigente,0
UDIS,Bankaool,May 2020,Vigente,0
UDIS,Banorte,May 2020,Vigente,0
UDIS,Banregio,May 2020,Vigente,0
UDIS,Bansí,May 2020,Vigente,0
UDIS,BBVA Bancomer,May 2020,Vigente,1.47
UDIS,BIAfirme,May 2020,Vigente,0
UDIS,CIBanco,May 2020,Vigente,0
UDIS,Consubanco,May 2020,Vigente,0
UDIS,Dondé Banco,May 2020,Vigente,0
UDIS,Finterra,May 2020,Vigente,0
UDIS,HSBC,May 2020,Vigente,0
UDIS,ICBC,May 2020,Vigente,0
UDIS,Inbursa,May 2020,Vigente,0
UDIS,Inmobiliario Mexicano,May 2020,Vigente,0
UDIS,Intercam Banco,May 2020,Vigente,0
UDIS,Invex,May 2020,Vigente,0
UDIS,J.P. Morgan,May 2020,Vigente,0
UDIS,KEB Hana Bank,May 2020,Vigente,0
UDIS,Mizuho Bank,May 2020,Vigente,0
UDIS,Monex,May 2020,Vigente,0
UDIS,MUFG Bank,May 2020,Vigente,0
UDIS,Multiva,May 2020,Vigente,0
UDIS,Sabadell,May 2020,Vigente,0
UDIS,Santander,May 2020,Vigente,0
UDIS,Scotiabank,May 2020,Vigente,0
UDIS,Shinhan,May 2020,Vigente,0
UDIS,Total Banca Múltiple,May 2020,Vigente,1.47
UDIS,Ve por Más,May 2020,Vigente,0
